EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19581227,10104,    0
121041,19581228,10146,    0
121041,19581229,10213,    0
121041,19581230,10196,    0
121041,19581231,10137,    0
121041,19590101,10177,    0
121041,19590102,10018,    0
121041,19590103,10048,    0
121041,19590104,10043,    0
121041,19590105,10125,    0
121041,19590106,10055,    0
121041,19590107, 9952,    0
121041,19590108,10013,    0
121041,19590109,10052,    0
121041,19590110,10074,    0
121041,19590111,10059,    0
121041,19590112, 9984,    0
121041,19590113,10020,    0
121041,19590114,10044,    0
121041,19590115,10082,    0
121041,19590116,10187,    0
121041,19590117,10284,    0
121041,19590118,10216,    0
121041,19590119,10142,    0
121041,19590120,10001,    0
121041,19590121, 9992,    0
121041,19590122, 9984,    0
121041,19590123,10071,    0
121041,19590124,10196,    0
121041,19590125,10308,    0
121041,19590126,10387,    0
121041,19590127,10379,    0
121041,19590128,10342,    0
121041,19590129,10294,    0
121041,19590130,10256,    0
121041,19590131,10268,    0
121041,19590201,10305,    0
121041,19590202,10331,    0
121041,19590203,10356,    0
121041,19590204,10335,    0
121041,19590205,10312,    0
121041,19590206,10303,    0
121041,19590207,10254,    0
121041,19590208,10256,    0
121041,19590209,10323,    0
121041,19590210,10343,    0
121041,19590211,10345,    0
