EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : wind gust in 0.1 m/s
23-27 Q_FX : Quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121049)
See file sources.txt for more info.



 SOUID,    DATE,   FX, Q_FX
121049,19581223,   56,    0
121049,19581224,  118,    0
121049,19581225,   82,    0
121049,19581226,   62,    0
121049,19581227,  170,    0
121049,19581228,  134,    0
121049,19581229,  128,    0
121049,19581230,  149,    0
121049,19581231,  138,    0
121049,19590101,  128,    0
121049,19590102,  166,    0
121049,19590103,  170,    0
121049,19590104,   82,    0
121049,19590105,  114,    0
121049,19590106,   72,    0
121049,19590107,  211,    0
121049,19590108,  195,    0
121049,19590109,  128,    0
121049,19590110,  134,    0
121049,19590111,  154,    0
121049,19590112,  149,    0
121049,19590113,  124,    0
121049,19590114,   57,    0
121049,19590115,   26,    0
121049,19590116,   26,    0
121049,19590117,   67,    0
121049,19590118,   88,    0
121049,19590119,  134,    0
121049,19590120,  144,    0
121049,19590121,  175,    0
121049,19590122,  227,    0
121049,19590123,  201,    0
121049,19590124,  155,    0
121049,19590125,   92,    0
121049,19590126,   36,    0
121049,19590127,   67,    0
121049,19590128,   72,    0
121049,19590129,   57,    0
121049,19590130,   32,    0
121049,19590131,   58,    0
121049,19590201,   78,    0
121049,19590202,  108,    0
121049,19590203,  107,    0
121049,19590204,   79,    0
121049,19590205,   57,    0
121049,19590206,   31,    0
121049,19590207,   26,    0
121049,19590208,   39,    0
121049,19590209,   31,    0
121049,19590210,   39,    0
121049,19590211,   26,    0
121049,19590212,   72,    0
121049,19590213,   31,    0
121049,19590214,   62,    0
121049,19590215,   57,    0
121049,19590216,   32,    0
121049,19590217,   36,    0
121049,19590218,   78,    0
121049,19590219,   23,    0
121049,19590220,  170,    0
121049,19590221,  155,    0
121049,19590222,   88,    0
121049,19590223,   54,    0
121049,19590224,   49,    0
121049,19590225,   62,    0
121049,19590226,   67,    0
121049,19590227,   49,    0
121049,19590228,   62,    0
121049,19590301,   57,    0
121049,19590302,   93,    0
121049,19590303,   94,    0
121049,19590304,   67,    0
121049,19590305,  108,    0
121049,19590306,   88,    0
121049,19590307,   77,    0
121049,19590308,   41,    0
121049,19590309,  108,    0
121049,19590310,  119,    0
121049,19590311,  112,    0
121049,19590312,   62,    0
121049,19590313,   77,    0
121049,19590314,   62,    0
121049,19590315,  113,    0
121049,19590316,   72,    0
121049,19590317,  118,    0
121049,19590318,   52,    0
121049,19590319,   42,    0
121049,19590320,  118,    0
121049,19590321,   54,    0
121049,19590322,   62,    0
121049,19590323,   67,    0
121049,19590324,   97,    0
121049,19590325,   93,    0
121049,19590326,   72,    0
121049,19590327,   98,    0
121049,19590328,   67,    0
121049,19590329,   72,    0
121049,19590330,   98,    0
121049,19590331,   72,    0
121049,19590401,   57,    0
121049,19590402,   47,    0
121049,19590403,   57,    0
121049,19590404,   36,    0
121049,19590405,  138,    0
121049,19590406,  160,    0
121049,19590407,  177,    0
121049,19590408,  176,    0
121049,19590409,  149,    0
121049,19590410,  128,    0
121049,19590411,   82,    0
121049,19590412,  113,    0
121049,19590413,   98,    0
121049,19590414,   97,    0
121049,19590415,   92,    0
121049,19590416,  154,    0
121049,19590417,   62,    0
121049,19590418,  126,    0
121049,19590419,  118,    0
121049,19590420,   82,    0
121049,19590421,   62,    0
121049,19590422,   56,    0
121049,19590423,   93,    0
121049,19590424,   41,    0
121049,19590425,  107,    0
121049,19590426,  128,    0
121049,19590427,  110,    0
121049,19590428,  110,    0
121049,19590429,   98,    0
121049,19590430,  108,    0
121049,19590501,  108,    0
121049,19590502,  113,    0
121049,19590503,   87,    0
121049,19590504,   60,    0
121049,19590505,   72,    0
121049,19590506,   57,    0
121049,19590507,   92,    0
121049,19590508,   32,    0
121049,19590509,   87,    0
121049,19590510,   93,    0
121049,19590511,  123,    0
121049,19590512,  113,    0
121049,19590513,   82,    0
121049,19590514,  155,    0
121049,19590515,  113,    0
121049,19590516,  113,    0
121049,19590517,   83,    0
121049,19590518,  103,    0
121049,19590519,   67,    0
121049,19590520,   93,    0
121049,19590521,   83,    0
121049,19590522,  140,    0
121049,19590523,  144,    0
121049,19590524,  103,    0
121049,19590525,   93,    0
121049,19590526,  103,    0
121049,19590527,   91,    0
121049,19590528,   71,    0
121049,19590529,   65,    0
121049,19590530,  101,    0
121049,19590531,   70,    0
121049,19590601,  118,    0
121049,19590602,   71,    0
121049,19590603,   60,    0
121049,19590604,   66,    0
121049,19590605,  110,    0
121049,19590606,   86,    0
121049,19590607,  100,    0
121049,19590608,  116,    0
121049,19590609,  126,    0
121049,19590610,  147,    0
121049,19590611,  143,    0
121049,19590612,  118,    0
121049,19590613,  139,    0
121049,19590614,  103,    0
121049,19590615,  144,    0
121049,19590616,   83,    0
121049,19590617,   78,    0
121049,19590618,  113,    0
121049,19590619,  118,    0
121049,19590620,  100,    0
121049,19590621,   81,    0
121049,19590622,   61,    0
121049,19590623,   56,    0
121049,19590624,   72,    0
121049,19590625,   66,    0
121049,19590626,   91,    0
121049,19590627,   72,    0
121049,19590628,  122,    0
121049,19590629,  143,    0
121049,19590630,  149,    0
121049,19590701,  118,    0
121049,19590702,  175,    0
121049,19590703,  128,    0
121049,19590704,   88,    0
121049,19590705,   87,    0
121049,19590706,  138,    0
121049,19590707,   62,    0
121049,19590708,  118,    0
121049,19590709,   62,    0
121049,19590710,   92,    0
121049,19590711,  144,    0
121049,19590712,  144,    0
121049,19590713,  118,    0
121049,19590714,   67,    0
121049,19590715,   93,    0
121049,19590716,   57,    0
121049,19590717,   57,    0
121049,19590718,   67,    0
121049,19590719,  113,    0
121049,19590720,   92,    0
121049,19590721,   82,    0
121049,19590722,   87,    0
121049,19590723,   87,    0
121049,19590724,  103,    0
121049,19590725,   97,    0
121049,19590726,   72,    0
121049,19590727,  144,    0
121049,19590728,   79,    0
121049,19590729,  113,    0
121049,19590730,   72,    0
121049,19590731,  160,    0
121049,19590801,  128,    0
121049,19590802,   72,    0
121049,19590803,   87,    0
121049,19590804,   87,    0
121049,19590805,  128,    0
121049,19590806,   62,    0
121049,19590807,   72,    0
121049,19590808,  107,    0
121049,19590809,  144,    0
121049,19590810,  113,    0
121049,19590811,   52,    0
121049,19590812,   87,    0
121049,19590813,   62,    0
121049,19590814,   92,    0
121049,19590815,   82,    0
121049,19590816,   77,    0
121049,19590817,   82,    0
121049,19590818,   57,    0
121049,19590819,   93,    0
121049,19590820,  133,    0
121049,19590821,  138,    0
121049,19590822,   92,    0
121049,19590823,   62,    0
121049,19590824,   33,    0
121049,19590825,   62,    0
121049,19590826,   92,    0
121049,19590827,   87,    0
121049,19590828,   82,    0
121049,19590829,   87,    0
121049,19590830,   72,    0
121049,19590831,   87,    0
121049,19590901,   67,    0
121049,19590902,   98,    0
121049,19590903,  123,    0
121049,19590904,   93,    0
121049,19590905,  133,    0
121049,19590906,   72,    0
121049,19590907,   77,    0
121049,19590908,   92,    0
121049,19590909,   67,    0
121049,19590910,   62,    0
121049,19590911,   82,    0
121049,19590912,   42,    0
121049,19590913,  103,    0
121049,19590914,   67,    0
121049,19590915,   52,    0
121049,19590916,   77,    0
121049,19590917,   82,    0
121049,19590918,   72,    0
121049,19590919,   77,    0
121049,19590920,   62,    0
121049,19590921,   62,    0
121049,19590922,   82,    0
121049,19590923,   52,    0
121049,19590924,   77,    0
121049,19590925,   92,    0
121049,19590926,   62,    0
121049,19590927,   87,    0
121049,19590928,   62,    0
121049,19590929,  118,    0
121049,19590930,  119,    0
121049,19591001,   93,    0
121049,19591002,   34,    0
121049,19591003,   46,    0
121049,19591004,   87,    0
121049,19591005,  114,    0
121049,19591006,   98,    0
121049,19591007,   98,    0
121049,19591008,   34,    0
121049,19591009,   94,    0
121049,19591010,  128,    0
121049,19591011,   36,    0
121049,19591012,   31,    0
121049,19591013,   46,    0
121049,19591014,   42,    0
121049,19591015,  103,    0
121049,19591016,   93,    0
121049,19591017,  117,    0
121049,19591018,  165,    0
121049,19591019,  103,    0
121049,19591020,   72,    0
121049,19591021,   77,    0
121049,19591022,  170,    0
121049,19591023,   93,    0
121049,19591024,   72,    0
121049,19591025,  113,    0
121049,19591026,   67,    0
121049,19591027,  227,    0
121049,19591028,  107,    0
121049,19591029,   98,    0
121049,19591030,  107,    0
121049,19591031,  113,    0
121049,19591101,  113,    0
121049,19591102,   52,    0
121049,19591103,   82,    0
121049,19591104,   67,    0
121049,19591105,   36,    0
121049,19591106,   46,    0
121049,19591107,   52,    0
121049,19591108,   36,    0
121049,19591109,   98,    0
121049,19591110,   87,    0
121049,19591111,   82,    0
121049,19591112,   52,    0
121049,19591113,  165,    0
121049,19591114,  134,    0
121049,19591115,  108,    0
121049,19591116,   36,    0
121049,19591117,  144,    0
121049,19591118,  160,    0
121049,19591119,  118,    0
121049,19591120,   98,    0
121049,19591121,  124,    0
121049,19591122,  103,    0
121049,19591123,   98,    0
121049,19591124,  103,    0
121049,19591125,  113,    0
121049,19591126,  134,    0
121049,19591127,   98,    0
121049,19591128,   93,    0
121049,19591129,  113,    0
121049,19591130,   93,    0
121049,19591201,   46,    0
121049,19591202,   36,    0
121049,19591203,   93,    0
121049,19591204,  108,    0
121049,19591205,   87,    0
121049,19591206,  106,    0
121049,19591207,  191,    0
121049,19591208,  108,    0
121049,19591209,   62,    0
121049,19591210,   93,    0
121049,19591211,   62,    0
121049,19591212,   72,    0
121049,19591213,   36,    0
121049,19591214,   98,    0
121049,19591215,  134,    0
121049,19591216,   72,    0
121049,19591217,  118,    0
121049,19591218,  129,    0
121049,19591219,  124,    0
121049,19591220,  170,    0
121049,19591221,   82,    0
121049,19591222,  144,    0
121049,19591223,  196,    0
121049,19591224,  124,    0
121049,19591225,  144,    0
121049,19591226,  237,    0
121049,19591227,  160,    0
121049,19591228,  134,    0
121049,19591229,  165,    0
121049,19591230,  170,    0
